Wed Nov 30 15:28:16 2022    profile/example_Satori_batch_2_nodes10

         7792 function calls (7708 primitive calls) in 123.059 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
        4    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
       17    0.000    0.000    0.000    0.000 pathlib.py:1089(_init)
        2    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
       13    0.000    0.000    0.000    0.000 pathlib.py:102(join_parsed_parts)
        1    0.000    0.000    0.000    0.000 __init__.py:451(device_count)
       12    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       38    0.000    0.000    0.000    0.000 enum.py:792(value)
        2    0.000    0.000    0.000    0.000 process.py:224(exitcode)
       37    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       20    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
        1    0.000    0.000    0.000    0.000 argparse.py:131(_get_kwargs)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
       25    0.000    0.000    0.000    0.000 argparse.py:2183(_parse_optional)
       12    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
        2    0.000    0.000    0.000    0.000 selectors.py:276(_key_from_fd)
       21    0.000    0.000    0.000    0.000 __init__.py:62(get_sharing_strategy)
        4    0.000    0.000    0.000    0.000 context.py:354(set_spawning_popen)
        4    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        7    0.000    0.000    0.000    0.000 reductions.py:35(__del__)
       51    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       41    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        3    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        7    0.000    0.000    0.000    0.000 serialization.py:869(UnpicklerWrapper)
        4    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
        4    0.000    0.000    0.000    0.000 weakref.py:353(__init__)
        2    0.000    0.000    0.000    0.000 context.py:249(get_start_method)
       21    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
        3    0.000    0.000    0.000    0.000 selectors.py:216(_fileobj_lookup)
       14    0.000    0.000    0.000    0.000 serialization.py:803(_maybe_decode_ascii)
       14    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
       11    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 context.py:233(get_context)
       14    0.000    0.000    0.000    0.000 serialization.py:199(__init__)
       48    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       13    0.000    0.000    0.000    0.000 argparse.py:935(__call__)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
       14    0.000    0.000    0.000    0.000 hooks.py:54(warn_if_has_hooks)
        2    0.000    0.000    0.000    0.000 process.py:189(name)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       13    0.000    0.000    0.000    0.000 argparse.py:2044(<listcomp>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       88    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       42    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        8    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
       40    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       28    0.000    0.000    0.000    0.000 sre_parse.py:250(match)
        2    0.000    0.000    0.000    0.000 selectors.py:64(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:2173(<listcomp>)
       30    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.000    0.000 {built-in method _signal.pthread_sigmask}
       92    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        2    0.000    0.000    0.000    0.000 pathlib.py:1434(is_dir)
        7    0.000    0.000    0.000    0.000 serialization.py:193(_is_path)
        4    0.000    0.000    0.000    0.000 synchronize.py:100(__getstate__)
       18    0.000    0.000    0.000    0.000 popen_spawn_posix.py:34(duplicate_for_child)
       26    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        6    0.000    0.000    0.000    0.000 argparse.py:941(__init__)
       39    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
       34    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       23    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
        2    0.000    0.000    0.000    0.000 resource_tracker.py:66(getfd)
        2    0.000    0.000    0.000    0.000 spawn.py:132(_check_not_importing_main)
        3    0.000    0.000    0.000    0.000 os.py:804(fsencode)
       66    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       81    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        7    0.000    0.000    0.000    0.000 _utils.py:158(_validate_loaded_sparse_tensors)
       29    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        2    0.000    0.000    0.000    0.000 util.py:461(close_fds)
       28    0.000    0.000    0.000    0.000 sre_parse.py:173(append)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        4    0.000    0.000    0.000    0.000 weakref.py:106(remove)
        6    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
       28    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x5573f2d4d2c0}
       38    0.000    0.000    0.000    0.000 argparse.py:203(__init__)
        1    0.000    0.000    0.000    0.000 {method 'long' of 'torch._C._TensorBase' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        4    0.000    0.000    0.000    0.000 sre_compile.py:292(_optimize_charset)
      7/5    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 spawn.py:73(<dictcomp>)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        4    0.000    0.000    0.000    0.000 weakref.py:348(__new__)
        4    0.000    0.000    0.000    0.000 connection.py:365(_close)
       45    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
       19    0.000    0.000    0.000    0.000 pathlib.py:303(splitroot)
        2    0.000    0.000    0.000    0.000 os.py:682(__setitem__)
        9    0.000    0.000    0.000    0.000 sre_compile.py:447(_simple)
        5    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
       11    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       28    0.000    0.000    0.000    0.000 context.py:351(get_spawning_popen)
       38    0.000    0.000    0.000    0.000 argparse.py:1580(_check_conflict)
        4    0.000    0.000    0.000    0.000 sre_parse.py:97(closegroup)
