,ncalls,tottime,percall,cumtime,percall2,filename:lineno(function)
222,45,0.0,0.0,0.0,0.0, sre_parse.py:161(__len__)
223,4,0.0,0.0,0.0,0.0, weakref.py:348(__new__)
224,47,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:231(_verbose_message)
225,4,0.0,0.0,0.0,0.0, sre_parse.py:97(closegroup)
226,2,0.0,0.0,0.0,0.0, os.py:682(__setitem__)
227,14,0.0,0.0,0.0,0.0, argparse.py:2286(_get_nargs_pattern)
228,28,0.0,0.0,0.0,0.0, context.py:351(get_spawning_popen)
229,14,0.0,0.0,0.0,0.0, {method 'stride' of 'torch._C._TensorBase' objects}
230,11,0.0,0.0,0.0,0.0, {method 'format' of 'str' objects}
231,38,0.0,0.0,0.0,0.0, argparse.py:1580(_check_conflict)
232,2,0.0,0.0,0.0,0.0, utils.py:234(__str__)
233,6,0.0,0.0,0.0,0.0, argparse.py:964(__init__)
234,5,0.0,0.0,0.0,0.0, __init__.py:89(find_spec)
235,1,0.0,0.0,0.0,0.0, spawn.py:73(<dictcomp>)
236,2,0.0,0.0,0.0,0.0, selectors.py:269(close)
237,1,0.0,0.0,0.0,0.0, {method 'long' of 'torch._C._TensorBase' objects}
238,4,0.0,0.0,0.0,0.0, connection.py:122(__init__)
239,38,0.0,0.0,0.0,0.0, argparse.py:575(_metavar_formatter)
240,4,0.0,0.0,0.0,0.0, weakref.py:106(remove)
241,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:160(__exit__)
242,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1077(path_stats)
243,19,0.0,0.0,0.0,0.0, pathlib.py:303(splitroot)
244,37,0.0,0.0,0.0,0.0, argparse.py:1363(register)
245,9,0.0,0.0,0.0,0.0, {method 'rfind' of 'str' objects}
246,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:87(acquire)
247,2,0.0,0.0,0.0,0.0, process.py:61(_cleanup)
248,1,0.0,0.0,0.0,0.0, ddp.py:12(set_master)
249,38,0.0,0.0,0.0,0.0, argparse.py:584(format)
250,2,0.0,0.0,0.0,0.0, selectors.py:203(__exit__)
251,101,0.0,0.0,0.0,0.0, {built-in method builtins.min}
252,1,0.0,0.0,0.0,0.0, {function Random.seed at 0x1529fd962820}
253,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:560(_classify_pyc)
254,7,0.0,0.0,0.0,0.0, serialization.py:173(default_restore_location)
255,14,0.0,0.0,0.0,0.0, enum.py:670(__new__)
256,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:58(__init__)
257,104,0.0,0.0,0.0,0.0, {method 'encode' of 'str' objects}
258,14,0.0,0.0,0.0,0.0, _namedtensor_internals.py:10(check_serializing_named_tensor)
259,4,0.0,0.0,0.0,0.0, {built-in method _multiprocessing.sem_unlink}
260,6,0.0,0.0,0.0,0.0, sre_parse.py:225(__init__)
261,9,0.0,0.0,0.0,0.0, resource_tracker.py:134(_check_alive)
262,10,0.0,0.0,0.0,0.0, pathlib.py:725(_format_parsed_parts)
263,4,0.0,0.0,0.0,0.0, connection.py:135(__del__)
264,50,0.0,0.0,0.0,0.0, {method 'match' of 're.Pattern' objects}
265,16,0.0,0.0,0.0,0.0, argparse.py:2475(_get_value)
266,38,0.0,0.0,0.0,0.0, types.py:171(__get__)
267,14,0.0,0.0,0.0,0.0, {method 'tell' of '_io.BufferedReader' objects}
268,16,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:129(<genexpr>)
269,34,0.0,0.0,0.0,0.0, sre_parse.py:255(get)
270,17,0.0,0.0,0.0,0.0, {built-in method posix.write}
271,5,0.0,0.0,0.0,0.0, copyreg.py:103(_slotnames)
272,4,0.0,0.0,0.0,0.0, process.py:344(__reduce__)
273,58,0.0,0.0,0.0,0.0, {built-in method builtins.setattr}
274,1,0.0,0.0,0.0,0.0, {method 'to' of 'torch._C._TensorBase' objects}
275,6,0.0,0.0,0.0,0.0, enum.py:977(__and__)
276,4,0.0,0.0,0.0,0.0, {method 'flush' of '_io.TextIOWrapper' objects}
277,1,0.0,0.0,0.0,0.0, spawn.py:11(<module>)
278,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:696(spec_from_file_location)
279,167,0.0,0.0,0.0,0.0, {method 'get' of 'dict' objects}
280,1,0.0,0.0,0.0,0.0, random.py:126(seed)
281,4,0.0,0.0,0.0,0.0, connection.py:972(reduce_connection)
282,77,0.0,0.0,0.0,0.0, {method 'rpartition' of 'str' objects}
283,45,0.0,0.0,0.0,0.0, sre_parse.py:234(__next)
284,2,0.0,0.0,0.0,0.0, selectors.py:210(__init__)
285,13,0.0,0.0,0.0,0.0, pathlib.py:715(_from_parsed_parts)
286,38,0.0,0.0,0.0,0.0, argparse.py:820(__init__)
287,1,0.0,0.0,0.0,0.0, random.py:117(__init__)
288,1,0.0,0.0,0.0,0.0, popen_fork.py:1(<module>)
289,40,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:123(<listcomp>)
290,12,0.0,0.0,0.0,0.0, _collections_abc.py:760(get)
291,14,0.0,0.0,0.0,0.0, reductions.py:26(__init__)
292,14,0.0,0.0,0.0,0.0, {method 'size' of 'torch._C._TensorBase' objects}
293,3,0.0,0.0,0.0,0.0, locale.py:352(_replace_encoding)
294,6,0.0,0.0,0.0,0.0, {method 'copy' of 'dict' objects}
295,1,0.0,0.0,0.0,0.0, spawn.py:70(__init__)
296,2,0.0,0.0,0.0,0.0, argparse.py:1620(__init__)
297,92,0.0,0.0,0.0,0.0, argparse.py:1367(_registry_get)
298,49,0.0,0.0,0.0,0.0, {built-in method builtins.max}
299,139,0.0,0.0,0.0,0.0, {built-in method builtins.hasattr}
300,3,0.0,0.0,0.0,0.0, selectors.py:235(register)
301,25/10,0.0,0.0,0.0,0.0, sre_parse.py:175(getwidth)
302,38,0.0,0.0,0.0,0.0, argparse.py:1567(_pop_action_class)
303,2,0.0,0.0,0.0,0.0, argparse.py:1443(add_argument_group)
304,10,0.0,0.0,0.0,0.0, {built-in method posix.pipe}
305,84,0.0,0.0,0.0,0.0, {method 'join' of 'str' objects}
306,30,0.0,0.0,0.0,0.0, argparse.py:906(__init__)
307,8,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:127(_path_split)
308,113,0.0,0.0,0.0,0.0, sre_parse.py:165(__getitem__)
309,2,0.0,0.0,0.0,0.0, utils.py:292(__exit__)
310,4,0.0,0.0,0.0,0.0, resource_tracker.py:149(unregister)
311,13,0.0,0.0,0.0,0.0, pathlib.py:742(__str__)
312,38,0.0,0.0,0.0,0.0, {built-in method posix.get_terminal_size}
313,7,0.0,0.0,0.0,0.0, serialization.py:889(_is_torchscript_zip)
314,12,0.0,0.0,0.0,0.0, posixpath.py:71(join)
315,14,0.0,0.0,0.0,0.0, reductions.py:59(__setitem__)
316,96,0.0,0.0,0.0,0.0, {built-in method builtins.getattr}
317,14,0.0,0.0,0.0,0.0, enum.py:358(__call__)
318,3,0.0,0.0,0.0,0.0, subprocess.py:282(_args_from_interpreter_flags)
319,32,0.0,0.0,0.0,0.0, random.py:237(_randbelow_with_getrandbits)
320,18,0.0,0.0,0.0,0.0, reduction.py:191(DupFd)
321,1,0.0,0.0,0.0,0.0, argparse.py:116(__repr__)
322,2,0.0,0.0,0.0,0.0, util.py:433(_flush_std_streams)
323,2,0.0,0.0,0.0,0.0, connection.py:521(Pipe)
324,14,0.0,0.0,0.0,0.0, argparse.py:2419(_get_values)
325,591,0.0,0.0,0.0,0.0, {method 'append' of 'list' objects}
326,422/401,0.0,0.0,0.0,0.0, {built-in method builtins.len}
327,19,0.0,0.0,0.0,0.0, {built-in method posix.close}
328,1,0.0,0.0,0.0,0.0, {built-in method builtins.repr}
329,6,0.0,0.0,0.0,0.0, locale.py:386(normalize)
330,4,0.0,0.0,0.0,0.0, tempfile.py:138(rng)
331,13,0.0,0.0,0.0,0.0, pathlib.py:752(__fspath__)
332,2,0.0,0.0,0.0,0.0, signal.py:24(_int_to_enum)
333,3,0.0,0.0,0.0,0.0, selectors.py:352(register)
334,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1509(_get_spec)
335,2,0.0,0.0,0.0,0.0, selectors.py:348(__init__)
336,4,0.0,0.0,0.0,0.0, weakref.py:165(__setitem__)
337,8,0.0,0.0,0.0,0.0, {built-in method builtins.print}
338,2,0.0,0.0,0.0,0.0, spawn.py:150(get_preparation_data)
339,93,0.0,0.0,0.0,0.0, os.py:754(encode)
340,52,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:398(parent)
341,4,0.0,0.0,0.0,0.0, pathlib.py:702(_from_parts)
342,40,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:121(_path_join)
343,4,0.0,0.0,0.0,0.0, signal.py:70(<genexpr>)
344,15,0.0,0.0,0.0,0.0, {function _load.<locals>.UnpicklerWrapper.find_class at 0x1528e48384c0}
345,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:166(_get_module_lock)
346,2,0.0,0.0,0.0,0.0, spawn.py:78(get_command_line)
347,548,0.0,0.0,0.0,0.0, {built-in method builtins.isinstance}
348,4,0.0,0.0,0.0,0.0, pathlib.py:1079(__new__)
349,6,0.0,0.0,0.0,0.0, sre_compile.py:560(_compile_info)
